company,price,weight,star_rating,total_comments,adult,chicken,wet,from_ocean,fish,tuna,salmon,mackerel,shrimps,milk,can,gravy,pouch,liver,grilled,turkey,ham,vegan
heads,356.0,0.2,3.9,46.0,0.0,0,0.5,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
whiskas,1039.0,3.0,4.6,4.0,0.5,0,1.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
royal,967.0,0.085,4.5,862.0,1.0,0,0.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
royal,,1.02,4.4,1466.0,0.5,0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
arden,1692.0,2.0,4.3,261.0,1.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
farmina,6550.0,10.0,4.5,17.0,1.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
iams,1494.0,3.0,3.0,7.0,1.0,0,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
me-o,420.0,1.1,4.3,196.0,0.0,0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kennel,300.0,0.8,3.1,59.0,1.0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sheba,1093.0,0.576,5.0,4.0,0.0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kitty,1175.0,3.0,4.7,7.0,0.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
me-o,,1.2,4.4,284.0,1.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
schesir,449.0,0.05,3.8,28.0,0.0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whiskas,773.0,2.2,4.6,53.0,1.0,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
purepet,597.0,2.1,4.0,1498.0,1.0,1,1.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
me-o,460.0,0.96,4.1,48.0,1.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
royal,2060.0,2.0,4.8,19.0,0.5,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
whiskas,230.0,0.45,5.0,4.0,0.0,0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
me-o,420.0,1.1,4.1,50.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
me-o,420.0,1.1,4.1,50.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
me-o,900.0,2.4,5.0,1.0,1.0,0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
farmina,5290.0,5.0,4.5,23.0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
whiskas,230.0,0.45,5.0,4.0,0.0,0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
me-o,480.0,0.96,4.1,58.0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
purepet,1758.0,7.0,4.3,145.0,1.0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
farmina,6550.0,10.0,4.5,170.0,1.0,0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
whiskas,,1.02,4.6,2225.0,1.0,0,0.5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
farmina,5590.0,5.0,4.7,180.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
generic,200.0,0.4,,,0.5,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
me-o,,2.8,4.4,251.0,0.5,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
meat,1128.0,8.0,5.0,1.0,1.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
meat,598.0,2.0,,,0.5,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
schesir,396.0,0.255,,,1.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whiskas,240.0,0.51,4.4,36.0,1.0,0,0.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
farmina,6550.0,10.0,4.6,16.0,1.0,0,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
barkbutler,960.0,0.255,,,0.0,1,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
dynamicsales,400.0,1.2,,,1.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
royal,1614.0,0.085,,,1.0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kit,338.0,0.4,5.0,1.0,0.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whiskas,2744.0,4.0,,,1.0,0,1.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
nurture,368.0,0.24,3.6,22.0,0.0,1,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
farmina,1190.0,1.5,4.3,12.0,0.5,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sheba,539.0,0.42,4.7,42.0,1.0,1,0.5,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
whiskas,773.0,2.2,4.6,56.0,1.0,0,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
lara,1170.0,2.0,5.0,3.0,1.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
whiskas,4012.0,8.0,5.0,4.0,1.0,0,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
whiskas,,1.02,4.5,10.0,1.0,0,0.5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
applaws,1800.0,0.84,4.8,22.0,0.0,0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
